Date,Open,High,Low,Close,Adj Close,Volume
2022/04/19,2.75,2.82,2.74,2.76,2.76,193589
2022/04/20,2.8,2.87,2.77,2.84,2.84,161884
2022/04/21,2.77,2.94,2.77,2.93,2.93,301224
2022/04/22,2.86,2.9,2.79,2.89,2.89,225261
2022/04/26,2.87,2.87,2.7,2.71,2.71,370083
2022/04/27,2.66,2.77,2.63,2.65,2.65,486829
2022/04/28,2.68,2.73,2.62,2.65,2.65,213451
2022/04/29,2.65,2.72,2.64,2.68,2.68,214447
2022/05/02,2.61,2.7,2.56,2.68,2.68,311323
2022/05/03,2.68,2.71,2.64,2.64,2.64,143540
2022/05/04,2.69,2.69,2.56,2.57,2.57,271306
2022/05/05,2.65,2.67,2.6,2.63,2.63,188870
2022/05/06,2.6,2.65,2.57,2.6,2.6,261844
2022/05/09,2.56,2.59,2.33,2.36,2.36,676338
2022/05/10,2.09,2.28,2.02,2.23,2.23,1104260
2022/05/11,2.13,2.3,2.13,2.25,2.25,293321
2022/05/12,2.25,2.32,2.12,2.15,2.15,403586
2022/05/13,2.18,2.29,2.17,2.24,2.24,208036
2022/05/16,2.31,2.43,2.2,2.26,2.26,503245
2022/05/17,2.3,2.32,2.21,2.27,2.27,257301
2022/05/18,2.39,2.89,2.39,2.68,2.68,1749609
2022/05/19,2.58,2.58,2.44,2.5,2.5,698274
2022/05/20,2.55,2.67,2.55,2.64,2.64,332582
2022/05/23,2.74,2.74,2.58,2.6,2.6,376990
2022/05/24,2.6,2.6,2.47,2.53,2.53,234129
2022/05/25,2.54,2.54,2.38,2.43,2.43,362447
2022/05/26,2.5,2.56,2.45,2.49,2.49,229516
2022/05/27,2.57,2.63,2.53,2.53,2.53,234466
2022/05/30,2.57,2.78,2.57,2.73,2.73,905648
2022/05/31,2.73,2.78,2.56,2.56,2.56,402123
2022/06/01,2.61,2.61,2.45,2.48,2.48,402234
2022/06/02,2.51,2.69,2.5,2.67,2.67,629861
2022/06/03,2.69,2.7,2.55,2.55,2.55,196715
2022/06/06,2.58,2.58,2.46,2.48,2.48,281165
2022/06/07,2.48,2.51,2.38,2.39,2.39,340222
2022/06/08,2.45,2.48,2.36,2.43,2.43,126834
2022/06/09,2.4,2.41,2.32,2.32,2.32,231977
2022/06/10,2.3,2.3,2.2,2.26,2.26,333647
2022/06/14,2.1,2.1,1.915,2.05,2.05,1077383
2022/06/15,2.08,2.1,1.955,1.965,1.965,424063
2022/06/16,2.02,2.12,2.02,2.09,2.09,396819
2022/06/17,1.98,2.05,1.94,2.05,2.05,526982
2022/06/20,2.05,2.07,1.925,1.96,1.96,389959
2022/06/21,2.16,2.33,2.13,2.14,2.14,710392
2022/06/22,2.25,2.25,2.06,2.07,2.07,233237
2022/06/23,2.15,2.16,2,2.03,2.03,293143
2022/06/24,2.05,2.3,2.05,2.21,2.21,586608
2022/06/27,2.27,2.32,2.15,2.27,2.27,440430
2022/06/28,2.28,2.28,2.12,2.15,2.15,152166
2022/06/29,2.34,2.41,2.24,2.26,2.26,759383
2022/06/30,2.34,2.45,2.27,2.38,2.38,422121
2022/07/01,2.5,2.67,2.49,2.57,2.57,642978
2022/07/04,2.59,2.63,2.4,2.47,2.47,289244
2022/07/05,2.51,2.54,2.44,2.52,2.52,176520
2022/07/06,2.55,2.77,2.55,2.65,2.65,475698
2022/07/07,2.68,2.68,2.54,2.63,2.63,169811
2022/07/08,2.68,2.7,2.62,2.62,2.62,129902
2022/07/11,2.69,2.69,2.51,2.53,2.53,121015
2022/07/12,2.53,2.62,2.5,2.54,2.54,144520
2022/07/13,2.6,2.6,2.495,2.55,2.55,181102
2022/07/14,2.55,2.67,2.53,2.65,2.65,139417
2022/07/15,2.65,2.65,2.48,2.51,2.51,195110
2022/07/18,2.6,2.6,2.48,2.53,2.53,83994
2022/07/19,2.55,2.61,2.49,2.6,2.6,215089
2022/07/20,2.63,2.88,2.63,2.85,2.85,888745
2022/07/21,2.82,2.9,2.75,2.89,2.89,357949
2022/07/22,2.93,2.93,2.8,2.82,2.82,209564
2022/07/25,2.87,2.87,2.65,2.73,2.73,235533
2022/07/26,2.73,2.89,2.66,2.83,2.83,198914
2022/07/27,2.8,2.8,2.68,2.74,2.74,312676
2022/07/28,2.82,2.87,2.74,2.77,2.77,247393
2022/07/29,2.82,2.89,2.69,2.71,2.71,491659
2022/08/01,2.75,2.81,2.61,2.66,2.66,223099
2022/08/02,2.65,2.67,2.56,2.67,2.67,213135
2022/08/03,2.67,2.8,2.61,2.8,2.8,158926
2022/08/04,2.82,2.88,2.72,2.76,2.76,202151
2022/08/05,2.76,3.04,2.76,3.01,3.01,706522
2022/08/08,2.97,3.08,2.9,3.01,3.01,424827
2022/08/09,3.04,3.09,2.93,2.94,2.94,285785
2022/08/10,2.9,2.9,2.8,2.88,2.88,252326
2022/08/11,2.98,3.03,2.88,2.88,2.88,209349
2022/08/12,2.91,2.94,2.82,2.86,2.86,173228
2022/08/15,2.88,2.88,2.8,2.8,2.8,173521
2022/08/16,2.83,2.91,2.8,2.84,2.84,152863
2022/08/17,2.88,2.89,2.7,2.73,2.73,336304
2022/08/18,2.74,2.795,2.7,2.76,2.76,190128
2022/08/19,2.78,2.78,2.72,2.77,2.77,103472
2022/08/22,2.74,2.77,2.64,2.71,2.71,116079
2022/08/23,2.7,2.7,2.65,2.65,2.65,152486
2022/08/24,2.65,2.685,2.61,2.65,2.65,151641
2022/08/25,2.69,2.735,2.64,2.7,2.7,165765
2022/08/26,2.75,2.76,2.62,2.64,2.64,221532
2022/08/29,2.57,2.6,2.51,2.52,2.52,431414
2022/08/30,2.54,2.71,2.53,2.7,2.7,172262
2022/08/31,2.67,2.78,2.63,2.78,2.78,143575
2022/09/01,2.75,2.75,2.62,2.63,2.63,135292
2022/09/02,2.64,2.64,2.55,2.58,2.58,111121
2022/09/05,2.56,2.59,2.51,2.58,2.58,81870
2022/09/06,2.55,2.6,2.53,2.54,2.54,82500
2022/09/07,2.52,2.54,2.47,2.47,2.47,195276
2022/09/08,2.5,2.58,2.48,2.54,2.54,105604
2022/09/09,2.61,2.63,2.5,2.53,2.53,137294
2022/09/12,2.55,2.63,2.42,2.43,2.43,260544
2022/09/13,2.53,2.57,2.5,2.52,2.52,234775
2022/09/14,2.42,2.49,2.41,2.45,2.45,162240
2022/09/15,2.5,2.5,2.36,2.38,2.38,229755
2022/09/16,2.38,2.38,2.32,2.33,2.33,174277
2022/09/19,2.34,2.37,2.29,2.3,2.3,137503
2022/09/20,2.31,2.37,2.22,2.27,2.27,260772
2022/09/21,2.21,2.26,2.18,2.2,2.2,221847
2022/09/23,2.22,2.23,2.12,2.15,2.15,245253
2022/09/26,2.12,2.14,2.05,2.1,2.1,252109
2022/09/27,2.09,2.16,2.09,2.13,2.13,124164
2022/09/28,2.15,2.2,2.04,2.05,2.05,186553
2022/09/29,2.12,2.18,2.09,2.12,2.12,110847
2022/09/30,2.08,2.09,2.05,2.08,2.08,174042
2022/10/03,2.04,2.05,2,2.05,2.05,182194
2022/10/04,2.06,2.14,2.05,2.13,2.13,191490
2022/10/05,2.19,2.33,2.17,2.22,2.22,315669
2022/10/06,2.16,2.19,2.08,2.09,2.09,634107
2022/10/07,2.08,2.14,2.08,2.09,2.09,348628
2022/10/10,2.06,2.09,2.02,2.02,2.02,197126
2022/10/11,2.05,2.1,2.01,2.02,2.02,174369
2022/10/12,2.03,2.08,2.01,2.04,2.04,134754
2022/10/13,2.14,2.16,2.09,2.13,2.13,448496
2022/10/14,2.17,2.2,2.11,2.12,2.12,213745
2022/10/17,2.11,2.43,2.09,2.36,2.36,594355
2022/10/18,2.43,2.43,2.28,2.33,2.33,140372
2022/10/19,2.32,2.4,2.3,2.31,2.31,210495
2022/10/20,2.3,2.3,2.16,2.19,2.19,326482
2022/10/21,2.22,2.23,2.17,2.23,2.23,216256
2022/10/24,2.3,2.42,2.3,2.35,2.35,312075
2022/10/25,2.35,2.55,2.32,2.45,2.45,497378
2022/10/26,2.51,2.51,2.34,2.35,2.35,247153
2022/10/27,2.55,2.99,2.52,2.95,2.95,1371550
2022/10/28,2.9,2.91,2.69,2.8,2.8,686783
2022/10/31,2.85,2.88,2.63,2.75,2.75,487618
2022/11/01,2.66,2.9,2.66,2.85,2.85,271960
2022/11/02,2.8,2.84,2.73,2.79,2.79,199329
2022/11/03,2.76,3.01,2.73,2.95,2.95,577339
2022/11/04,2.92,2.96,2.86,2.93,2.93,532001
2022/11/07,2.94,3.07,2.89,2.98,2.98,461331
2022/11/08,3.11,3.24,3.02,3.11,3.11,938989
2022/11/09,3.13,3.13,2.98,3.05,3.05,473180
2022/11/10,3.04,3.15,2.91,3.11,3.11,434715
2022/11/11,3.2,3.24,3.05,3.14,3.14,330910
2022/11/14,3.2,3.355,3.12,3.23,3.23,826400
2022/11/15,3.25,3.35,3.15,3.3,3.3,432847
2022/11/16,3.32,3.54,3.26,3.29,3.29,687664
2022/11/17,3.32,3.44,3.27,3.4,3.4,463851
2022/11/18,3.37,3.51,3.31,3.45,3.45,704243
2022/11/21,3.5,3.51,3.36,3.43,3.43,546619
2022/11/22,3.41,3.41,3.35,3.35,3.35,270345
2022/11/23,3.32,3.42,3.32,3.39,3.39,347748
2022/11/24,3.39,3.44,3.31,3.35,3.35,222743
2022/11/25,3.33,3.36,3.23,3.26,3.26,277424
2022/11/28,3.25,3.27,3.14,3.15,3.15,251898
2022/11/29,3.1,3.24,3.03,3.21,3.21,455735
2022/11/30,3.16,3.2,3.12,3.15,3.15,124275
2022/12/01,3.2,3.39,3.18,3.34,3.34,324091
2022/12/02,3.35,3.36,3.25,3.35,3.35,88432
2022/12/05,3.34,3.39,3.29,3.31,3.31,202128
2022/12/06,3.3,3.52,3.21,3.52,3.52,639801
2022/12/07,3.51,3.78,3.46,3.69,3.69,876275
2022/12/08,3.75,3.75,3.64,3.74,3.74,235209
2022/12/09,3.75,3.82,3.68,3.73,3.73,356478
